0.85,0.88,0.90,1.00,0.84,0.86,0.87,0.85,0.83,0.81,0.81,0.83,,
0.85,0.88,0.90,0.99,0.86,0.85,0.87,0.85,0.82,0.82,0.81,0.83,,
0.87,0.88,0.89,0.97,0.86,0.85,0.88,0.87,0.82,0.82,0.81,0.77,,
0.85,0.90,0.89,0.97,0.86,0.84,0.88,0.87,0.82,0.82,0.81,0.77,,
0.87,0.90,0.89,0.94,0.84,0.86,0.87,0.90,0.82,0.83,0.81,0.76,,
0.88,0.91,0.89,0.89,0.83,0.85,0.88,0.95,0.82,0.86,0.84,0.77,,
0.88,0.91,0.91,0.92,0.84,0.85,0.87,0.93,0.83,0.91,0.89,0.75,,
0.89,0.91,0.91,0.89,0.87,0.87,0.87,0.95,0.79,0.88,0.89,0.81,,
0.89,0.91,0.90,0.93,0.87,0.87,0.96,0.92,0.79,0.88,0.80,0.81,,
0.89,0.91,0.91,0.89,0.89,0.87,0.88,0.89,0.77,0.88,0.88,0.83,,
0.91,0.89,0.91,0.89,0.84,0.87,0.87,0.89,0.83,0.89,0.88,0.85,,
0.91,0.89,0.91,0.89,0.85,0.87,0.85,0.89,0.87,0.89,0.89,0.83,,
0.91,0.89,0.89,0.88,0.85,0.87,0.83,0.89,0.77,0.89,0.85,0.82,,
0.91,0.89,0.92,0.87,0.88,0.88,0.83,0.90,0.76,0.88,0.85,0.82,,
0.91,0.92,0.89,0.90,0.85,0.85,0.85,0.88,0.77,0.87,0.81,0.82,,
0.87,0.91,0.91,0.89,0.87,0.83,0.85,0.90,0.79,0.81,0.81,0.81,,
0.84,0.87,0.91,0.88,0.85,0.87,0.86,0.91,0.83,0.77,0.81,0.81,,
0.84,0.86,0.88,0.88,0.85,0.83,0.88,0.91,0.84,0.81,0.81,0.81,,
0.86,0.86,0.88,0.87,0.84,0.83,0.88,0.91,0.84,0.81,0.81,0.81,,
0.85,0.86,0.89,0.87,0.83,0.82,0.89,0.91,0.82,0.82,0.81,0.81,,
0.83,0.86,0.89,0.87,0.88,0.85,0.88,0.91,0.75,0.79,0.81,0.81,,
